contact_id,first_name,last_name,social_user,email,street,city,state,country,dob,gender,churn_score
CONT00085,Tripp,Barfoot,tbarfoot2c@twitter,tbarfoot2c@jiathis.com,36 Sommers Alley,Washington,District of Columbia,United States,22/11/1979 9:14,Male,0.34
CONT00086,Dora,Menis,dmenis2d@twitter,dmenis2d@soundcloud.com,8588 Kennedy Court,San Jose,California,United States,19/02/1978 21:47,Female,0.21
CONT00087,Oona,Girardeau,ogirardeau2e@instagram,ogirardeau2e@jigsy.com,4 Coolidge Place,Sacramento,California,United States,18/09/1987 20:39,Female,0.25
CONT00088,Morlee,Unthank,munthank2f@facebook,munthank2f@seesaa.net,827 Buhler Hill,Santa Barbara,California,United States,13/05/1972 6:46,Male,0.21
CONT00089,Consuela,Donoher,cdonoher2g@instagram,cdonoher2g@fotki.com,083 Fisk Junction,Monticello,Minnesota,United States,21/09/1976 16:32,Female,0.31
CONT00090,Weston,Eliassen,weliassen2h@twitter,weliassen2h@typepad.com,56 Golf Circle,Dayton,Ohio,United States,15/04/1963 21:33,Male,0.19
CONT00091,Aleda,Stidever,astidever2i@facebook,astidever2i@hatena.ne.jp,781 Lukken Hill,Rochester,New York,United States,30/05/1979 10:56,Female,0.22
CONT00092,Anton,McRobert,amcrobert2j@facebook,amcrobert2j@ox.ac.uk,80 Crownhardt Point,Yonkers,New York,United States,19/04/1967 4:49,Male,0.34
CONT00093,Ody,Rumbellow,orumbellow2k@instagram,orumbellow2k@instagram.com,54 Elgar Street,Houston,Texas,United States,9/06/1980 18:24,Male,0.26
CONT00094,Jan,Twinberrow,jtwinberrow2l@twitter,jtwinberrow2l@sourceforge.net,3 Dakota Drive,Clearwater,Florida,United States,30/01/1962 5:28,Female,0.12
CONT00095,Philis,Girodier,pgirodier2m@instagram,pgirodier2m@opera.com,53608 5th Pass,Atlanta,Georgia,United States,8/07/1965 1:30,Female,0.32
CONT00096,Kristofor,McCaffery,kmccaffery2n@twitter,kmccaffery2n@symantec.com,851 Troy Point,Simi Valley,California,United States,12/10/1980 20:29,Male,0.23
CONT00097,Rafferty,Wasmer,rwasmer2o@twitter,rwasmer2o@fema.gov,75 Ridgeway Circle,Riverside,California,United States,20/07/1972 5:39,Male,0.28
CONT00098,Onida,Undy,oundy2p@twitter,oundy2p@marriott.com,95 Cambridge Road,Amarillo,Texas,United States,19/10/1982 8:13,Female,0.24
CONT00099,Shandy,Gribble,sgribble2q@facebook,sgribble2q@issuu.com,03945 Harper Pass,Huntington,West Virginia,United States,7/05/1987 13:00,Female,0.19
CONT000100,Cleo,Sollom,csollom2r@twitter,csollom2r@indiatimes.com,80647 Lawn Pass,Minneapolis,Minnesota,United States,27/08/1983 1:43,Female,0.32
